key;dep;nomdep;codecommune;nomcommune
01357;01;AIN;01357;SAINT-GERMAIN-DE-JOUX
01358;01;AIN;01358;SAINT-GERMAIN-LES-PAROISSES
01359;01;AIN;01359;SAINT-GERMAIN-SUR-RENON
01360;01;AIN;01360;SAINT-JEAN-DE-GONVILLE
01361;01;AIN;01361;SAINT-JEAN-DE-NIOST
01362;01;AIN;01362;SAINT-JEAN-DE-THURIGNEUX
01363;01;AIN;01363;SAINT-JEAN-LE-VIEUX
01364;01;AIN;01364;SAINT-JEAN-SUR-REYSSOUZE
01365;01;AIN;01365;SAINT-JEAN-SUR-VEYLE
01366;01;AIN;01366;SAINTE-JULIE
01367;01;AIN;01367;SAINT-JULIEN-SUR-REYSSOUZE
01368;01;AIN;01368;SAINT-JULIEN-SUR-VEYLE
01369;01;AIN;01369;SAINT-JUST
01370;01;AIN;01370;SAINT-LAURENT-SUR-SAÔNE
01371;01;AIN;01371;SAINT-MARCEL
01372;01;AIN;01372;SAINT-MARTIN-DE-BAVEL
01373;01;AIN;01373;SAINT-MARTIN-DU-FRÊNE
01374;01;AIN;01374;SAINT-MARTIN-DU-MONT
01375;01;AIN;01375;SAINT-MARTIN-LE-CHÂTEL
01376;01;AIN;01376;SAINT-MAURICE-DE-BEYNOST
01378;01;AIN;01378;SAINT-MAURICE-DE-GOURDANS
01379;01;AIN;01379;SAINT-MAURICE-DE-RÉMENS
01380;01;AIN;01380;SAINT-NIZIER-LE-BOUCHOUX
01381;01;AIN;01381;SAINT-NIZIER-LE-DÉSERT
01382;01;AIN;01382;SAINTE-OLIVE
01383;01;AIN;01383;SAINT-PAUL-DE-VARAX
01384;01;AIN;01384;SAINT-RAMBERT-EN-BUGEY
01385;01;AIN;01385;SAINT-RÉMY
01386;01;AIN;01386;SAINT-SORLIN-EN-BUGEY
01387;01;AIN;01387;SAINT-SULPICE
01388;01;AIN;01388;SAINT-TRIVIER-DE-COURTES
01389;01;AIN;01389;SAINT-TRIVIER-SUR-MOIGNANS
01390;01;AIN;01390;SAINT-VULBAS
01391;01;AIN;01391;SALAVRE
01392;01;AIN;01392;SAMOGNAT
01393;01;AIN;01393;SANDRANS
01396;01;AIN;01396;SAULT-BRÉNAZ
01397;01;AIN;01397;SAUVERNY
01398;01;AIN;01398;SAVIGNEUX
01399;01;AIN;01399;SÉGNY
01400;01;AIN;01400;SEILLONNAZ
01401;01;AIN;01401;SERGY
01402;01;AIN;01402;SERMOYER
01403;01;AIN;01403;SERRIÈRES-DE-BRIORD
01404;01;AIN;01404;SERRIÈRES-SUR-AIN
01405;01;AIN;01405;SERVAS
01406;01;AIN;01406;SERVIGNAT
01407;01;AIN;01407;SEYSSEL
01408;01;AIN;01408;SIMANDRE-SUR-SURAN
01410;01;AIN;01410;SONTHONNAX-LA-MONTAGNE
01411;01;AIN;01411;SOUCLIN
01412;01;AIN;01412;SULIGNAT
01415;01;AIN;01415;TALISSIEU
01416;01;AIN;01416;TENAY
01418;01;AIN;01418;THIL
01419;01;AIN;01419;THOIRY
01420;01;AIN;01420;THOISSEY
01421;01;AIN;01421;TORCIEU
01422;01;AIN;01422;TOSSIAT
01423;01;AIN;01423;TOUSSIEUX
01424;01;AIN;01424;TRAMOYES
01425;01;AIN;01425;LA TRANCLIÈRE
01426;01;AIN;01426;VAL-REVERMONT
01427;01;AIN;01427;TRÉVOUX
01428;01;AIN;01428;VALEINS
01429;01;AIN;01429;VANDEINS
01430;01;AIN;01430;VARAMBON
01431;01;AIN;01431;VAUX-EN-BUGEY
01432;01;AIN;01432;VERJON
01433;01;AIN;01433;VERNOUX
01434;01;AIN;01434;VERSAILLEUX
01435;01;AIN;01435;VERSONNEX
01436;01;AIN;01436;VESANCY
01437;01;AIN;01437;VESCOURS
01439;01;AIN;01439;VÉSINES
01441;01;AIN;01441;VIEU-D'IZENAVE
01443;01;AIN;01443;VILLARS-LES-DOMBES
01444;01;AIN;01444;VILLEBOIS
01445;01;AIN;01445;VILLEMOTIER
01446;01;AIN;01446;VILLENEUVE
01447;01;AIN;01447;VILLEREVERSURE
01448;01;AIN;01448;VILLES
01449;01;AIN;01449;VILLETTE-SUR-AIN
01450;01;AIN;01450;VILLIEU-LOYES-MOLLON
01451;01;AIN;01451;VIRIAT
01452;01;AIN;01452;VIRIEU-LE-GRAND
01453;01;AIN;01453;ARVIERE-EN-VALROMEY
01454;01;AIN;01454;VIRIGNIN
01456;01;AIN;01456;VONGNES
01457;01;AIN;01457;VONNAS
02001;02;AISNE;02001;ABBÉCOURT
02002;02;AISNE;02002;ACHERY
02003;02;AISNE;02003;ACY
02004;02;AISNE;02004;AGNICOURT-ET-SÉCHELLES
02005;02;AISNE;02005;AGUILCOURT
02006;02;AISNE;02006;AISONVILLE-ET-BERNOVILLE
02007;02;AISNE;02007;AIZELLES
02008;02;AISNE;02008;AIZY-JOUY
02009;02;AISNE;02009;ALAINCOURT
02010;02;AISNE;02010;ALLEMANT
02011;02;AISNE;02011;AMBLENY
02012;02;AISNE;02012;AMBRIEF
02013;02;AISNE;02013;AMIFONTAINE
02014;02;AISNE;02014;AMIGNY-ROUY
02015;02;AISNE;02015;ANCIENVILLE
02016;02;AISNE;02016;ANDELAIN
02017;02;AISNE;02017;ANGUILCOURT-LE-SART
02018;02;AISNE;02018;ANIZY-LE-GRAND
02019;02;AISNE;02019;ANNOIS
02020;02;AISNE;02020;ANY-MARTIN-RIEUX
02021;02;AISNE;02021;ARCHON
02022;02;AISNE;02022;ARCY-SAINTE-RESTITUE
02023;02;AISNE;02023;ARMENTIÈRES-SUR-OURCQ
02025;02;AISNE;02025;ARTEMPS
02027;02;AISNE;02027;ASSIS-SUR-SERRE
02028;02;AISNE;02028;ATHIES-SOUS-LAON
02029;02;AISNE;02029;ATTILLY
02030;02;AISNE;02030;AUBENCHEUL-AUX-BOIS
02031;02;AISNE;02031;AUBENTON
02032;02;AISNE;02032;AUBIGNY-AUX-KAISNES
02033;02;AISNE;02033;AUBIGNY-EN-LAONNOIS
02034;02;AISNE;02034;AUDIGNICOURT
02035;02;AISNE;02035;AUDIGNY
02036;02;AISNE;02036;AUGY
02037;02;AISNE;02037;AULNOIS-SOUS-LAON
02038;02;AISNE;02038;LES AUTELS
02039;02;AISNE;02039;AUTREMENCOURT
02040;02;AISNE;02040;AUTREPPES
02041;02;AISNE;02041;AUTREVILLE
02042;02;AISNE;02042;AZY-SUR-MARNE
02043;02;AISNE;02043;BAGNEUX
02046;02;AISNE;02046;BARENTON-BUGNY
02047;02;AISNE;02047;BARENTON-CEL
02048;02;AISNE;02048;BARENTON-SUR-SERRE
02049;02;AISNE;02049;BARISIS-AUX-BOIS
02050;02;AISNE;02050;BARZY-EN-THIÉRACHE
02051;02;AISNE;02051;BARZY-SUR-MARNE
02052;02;AISNE;02052;BASSOLES-AULERS
02053;02;AISNE;02053;VALLÉES EN CHAMPAGNE
02054;02;AISNE;02054;BAZOCHES-ET-SAINT-THIBAUT
02055;02;AISNE;02055;BEAUMÉ
02056;02;AISNE;02056;BEAUMONT-EN-BEINE
02057;02;AISNE;02057;BEAUREVOIR
02058;02;AISNE;02058;BEAURIEUX
02059;02;AISNE;02059;BEAUTOR
02060;02;AISNE;02060;BEAUVOIS-EN-VERMANDOIS
02061;02;AISNE;02061;BECQUIGNY
02062;02;AISNE;02062;BELLEAU
02063;02;AISNE;02063;BELLENGLISE
02064;02;AISNE;02064;BELLEU
02065;02;AISNE;02065;BELLICOURT
02066;02;AISNE;02066;BENAY
02067;02;AISNE;02067;BERGUES-SUR-SAMBRE
02068;02;AISNE;02068;BERLANCOURT
02069;02;AISNE;02069;BERLISE
02070;02;AISNE;02070;BERNOT
02071;02;AISNE;02071;BERNY-RIVIÈRE
02072;02;AISNE;02072;BERRIEUX
02073;02;AISNE;02073;BERRY-AU-BAC
02074;02;AISNE;02074;BERTAUCOURT-EPOURDON
02075;02;AISNE;02075;BERTHENICOURT
02076;02;AISNE;02076;BERTRICOURT
02077;02;AISNE;02077;BERZY-LE-SEC
02078;02;AISNE;02078;BESMÉ
02079;02;AISNE;02079;BESMONT
02080;02;AISNE;02080;BESNY-ET-LOIZY
02081;02;AISNE;02081;BÉTHANCOURT-EN-VAUX
02082;02;AISNE;02082;BEUGNEUX
02083;02;AISNE;02083;BEUVARDES
02084;02;AISNE;02084;BÉZU-LE-GUÉRY
02085;02;AISNE;02085;BÉZU-SAINT-GERMAIN
02086;02;AISNE;02086;BICHANCOURT
02088;02;AISNE;02088;BIÈVRES
02089;02;AISNE;02089;BILLY-SUR-AISNE
02090;02;AISNE;02090;BILLY-SUR-OURCQ
02091;02;AISNE;02091;BLANZY-LÈS-FISMES
02093;02;AISNE;02093;BLÉRANCOURT
02094;02;AISNE;02094;BLESMES
