codecommune;dep;nomcommune;nomdep;REV_revmoyfoy1992;REV_revmoyfoy2002;REV_revmoyfoy2012;REV_revmoyfoy2022;DBL_bug
01276;01;NIEVROZ;AIN;29020.95145757547;31940.078;37353.711;38464.113;0
01277;01;NIVOLLET-MONTGRIFFON;AIN;16201.55151959281;20309.885;27219.619;28500.463;0
01279;01;ONCIEU;AIN;24960.9881926184;20667.502;27103.918;28300.758;0
01280;01;ORDONNAZ;AIN;17131.1487379301;19561.115;25283.641;29466.771;0
01281;01;ORNEX;AIN;29467.07021720306;45027.555;61289.898;58744.773;0
01282;01;OUTRIAZ;AIN;28109.56316820257;30692.42;38341.656;35482.027;0
01283;01;OYONNAX;AIN;28533.39168720133;26865.092;26378.9;25962.652;0
01284;01;OZAN;AIN;20558.50869490011;24046.686;29131.996;28910.498;0
01285;01;PARCIEUX;AIN;34766.81038699429;43102.203;45688.293;45917.789;0
01286;01;PARVES;AIN;26061.37260675964;33369.164;37951.164;38818.234;0
01288;01;PERON;AIN;16165.13366166403;43000.379;56511.383;59159.02;0
01289;01;PERONNAS;AIN;29835.01616110421;38042.469;34766.98;32905.723;0
01290;01;PEROUGES;AIN;42379.39848231433;39664.652;41560.324;41759.324;0
01291;01;PERREX;AIN;23774.58228647297;30305.059;36867.973;38566.805;0
01293;01;PEYRIAT;AIN;30621.76747118636;47559.02;42626.273;41045.086;0
01294;01;PEYRIEU;AIN;21824.02925792532;25247.77;30180.045;31026.58;0
01295;01;PEYZIEUX-SUR-SAONE;AIN;23009.17937586631;33172.926;41597.715;34613.363;0
01296;01;PIRAJOUX;AIN;20270.61924903206;21664.838;27210.918;29316.93;0
01297;01;PIZAY;AIN;29507.56938679627;35030.426;40753.578;40931.746;0
01298;01;PLAGNE;AIN;19071.96940789333;25865.219;37204.055;39208.551;0
01299;01;PLANTAY;AIN;34120.7073558095;32451.494;32342.934;33784.434;0
01301;01;POLLIAT;AIN;28150.690231898;32286.469;36268.828;37208.242;0
01302;01;POLLIEU;AIN;20435.44145086492;32490.158;37522.012;39382.191;0
01303;01;PONCIN;AIN;26073.61654175294;28092.641;31455.691;30113.834;0
01304;01;PONT-D'AIN;AIN;22591.00190378753;24332.705;28583.848;28969.506;0
01305;01;PONT-DE-VAUX;AIN;22448.78388963461;22228.68;23903.107;23648.736;0
01306;01;PONT-DE-VEYLE;AIN;21471.78066657967;22952.262;25004.266;24806.561;0
01307;01;PORT;AIN;44577.65573418792;33206.508;29165.5;30818.346;0
01308;01;POUGNY;AIN;15273.52403651106;41074.566;57550.41;56179.125;0
01309;01;POUILLAT;AIN;;21424.943;27257.791;26568.908;0
01310;01;PREMEYZEL;AIN;7272.897386018814;7564.4155;11175.501;13034.517;0
01311;01;PREMILLIEU;AIN;;25777.576;25993.475;32188.768;0
01313;01;PREVESSIN-MOENS;AIN;26926.92462667046;54179.426;70627.883;68651.133;0
01314;01;PRIAY;AIN;25126.12434150237;29425.227;32944.008;34160.949;0
01317;01;RAMASSE;AIN;23758.57098686635;27000.248;34971.457;33404.871;0
01318;01;RANCE;AIN;30679.53372859064;39420.543;46578.145;43650.813;0
01319;01;RELEVANT;AIN;22379.40159133925;29570.805;34086.992;36881.34;0
01320;01;REPLONGES;AIN;27261.59218315392;31901.703;33868.082;36724.77;0
01321;01;REVONNAS;AIN;36144.72399431693;36367.121;41549.277;45636.547;0
01322;01;REYRIEUX;AIN;34751.42698148989;40447.574;44806.059;46881.707;0
01323;01;REYSSOUZE;AIN;21142.76415701619;23613.975;27672.965;29434.004;0
01325;01;RIGNIEUX-LE-FRANC;AIN;30712.1842219061;31869.258;38283.016;39521.723;0
01328;01;ROMANS;AIN;28179.25941354903;31520.758;36584.063;37106.992;0
01329;01;ROSSILLON;AIN;15467.22936704606;18640.455;23801.037;22481.381;0
01330;01;RUFFIEU;AIN;18865.07830121171;21068.955;25932.6;25565.76;0
01331;01;SAINT-ALBAN;AIN;15287.02375970881;22590.941;29195.043;27543.346;0
01332;01;ST-ANDRE-DE-BAGE;AIN;33750.24983549948;38123.73;35357.531;39644.82;0
01333;01;ST-ANDRE-DE-CORCY;AIN;31766.73236658525;32041.883;37114.523;36492.906;0
01334;01;ST-ANDRE-D-HUIRIAT;AIN;22930.06471898654;29634.484;33602.016;35430.895;0
