dep;codecommune;nomcommune;nomdep;PO0_electeurs1992;PO0_electeurs2002;PO0_electeurs2012;PO0_electeurs2022;DBL_bug
01;01148;DORTAN;AIN;1353.1503;1397.292;1354.8221;1462.0181;0
01;01149;DOUVRES;AIN;408.71289;567.60474;746.58093;761.31964;0
01;01150;DROM;AIN;114.50308;121.75665;148.52724;151.28186;0
01;01151;DRUILLAT;AIN;680.26935;729.38647;838.74432;998.54718;0
01;01152;ECHALLON;AIN;441.36893;505.03281;547.11279;515.60596;0
01;01153;ECHENEVEX;AIN;563.46844;682.92816;886.83734;1041.1812;0
01;01155;EVOSGES;AIN;84.871994;102.93105;109.00658;119.25354;0
01;01156;FARAMANS;AIN;365.99051;455.54593;535.95837;556.59125;0
01;01157;FAREINS;AIN;1154.7539;1337.5614;1633.4423;1827.0497;0
01;01158;FARGES;AIN;381.57697;421.02579;516.5755;566.1214;0
01;01159;FEILLENS;AIN;1816.3457;2119.3386;2424.665;2666.0876;0
01;01160;FERNEY-VOLTAIRE;AIN;3776.1724;4216.3687;4458.5161;4939.0376;0
01;01162;FLAXIEU;AIN;52.0;50.037735;42.119999;34.999996;0
01;01163;FOISSIAT;AIN;1196.6681;1269.9318;1539.969;1600.8411;0
01;01165;FRANCHELEINS;AIN;593.75983;709.32697;1018.7066;1107.4652;0
01;01166;FRANS;AIN;1073.3829;1312.9902;1494.5991;1839.4856;0
01;01167;GARNERANS;AIN;360.41547;424.59451;483.15903;517.45239;0
01;01169;GENOUILLEUX;AIN;239.53256;314.60239;398.89697;577.65729;0
01;01170;BEARD-GEOVREISSIAT;AIN;321.2605;486.3385;619.76117;809.41998;0
01;01171;GEOVREISSET;AIN;313.39203;493.68835;606.95563;604.63629;0
01;01173;GEX;AIN;4137.9849;5212.793;6558.1147;8964.1074;0
01;01174;GIRON;AIN;74.453766;73.151932;119.0067;162.14122;0
01;01175;GORREVOD;AIN;378.07709;447.6051;570.8277;594.57275;0
01;01177;GRAND-CORENT;AIN;81.771698;86.44236;116.36037;164.67163;0
01;01179;GRIEGES;AIN;1120.9166;1199.3552;1446.6897;1461.3109;0
01;01180;GRILLY;AIN;404.51935;383.65576;433.57114;430.99866;0
01;01181;GROISSIAT;AIN;465.78461;641.15936;746.48407;802.92712;0
01;01183;GUEREINS;AIN;680.72662;815.34515;1030.9183;1040.5679;0
01;01184;HAUTECOURT-ROMANECHE;AIN;422.30457;521.44092;584.89465;592.14343;0
01;01185;HAUTEVILLE-LOMPNESZ;AIN;3589.2327;3971.8728;4120.9668;3723.074;0
01;01187;HOTONNES;AIN;473.29382;457.06741;515.89496;465.43951;0
01;01188;ILLIAT;AIN;303.82098;346.91531;424.02301;434.28287;0
01;01189;INJOUX-GENISSIAT;AIN;645.85266;674.08588;762.78143;774.79449;0
01;01190;INNIMOND;AIN;74.512939;79.677773;93.689041;46.880733;0
01;01191;IZENAVE;AIN;115.00787;116.77578;134.11919;132.50606;0
01;01192;IZERNORE;AIN;831.82648;1184.1793;1505.4205;1735.8707;0
01;01193;IZIEU;AIN;147.84001;158.35497;160.56799;190.85895;0
01;01194;JASSANS-RIOTTIER;AIN;3152.3391;3842.4558;4553.7256;4610.5747;0
01;01195;JASSERON;AIN;823.10907;975.33038;1219.5542;1290.5557;0
01;01196;JAYAT;AIN;507.42139;648.38452;787.77667;905.27313;0
01;01197;JOURNANS;AIN;189.47574;241.01573;259.15045;271.11566;0
01;01198;JOYEUX;AIN;121.12782;132.40503;189.1821;150.573;0
01;01199;JUJURIEUX;AIN;1181.3497;1396.8586;1562.6857;1526.2828;0
01;01200;LABALME;AIN;76.245613;101.99982;143.68022;182.98087;0
01;01202;LAGNIEU;AIN;4053.2012;4429.3101;4947.2368;5294.9863;0
01;01203;LAIZ;AIN;580.25085;719.86176;880.85284;1038.0055;0
01;01204;LALLEYRIAT;AIN;300.91809;399.99808;507.62375;520.13287;0
01;01206;LANTENAY;AIN;174.52655;181.20308;186.04945;261.84698;0
01;01207;LAPEYROUSE;AIN;167.19928;189.28436;208.68654;217.38184;0
01;01208;LAVOURS;AIN;99.050507;94.803192;135.0466;75.045448;0
01;01209;LEAZ;AIN;353.72693;351.74579;354.13751;416.0827;0
01;01210;LELEX;AIN;184.00687;170.84229;176.32907;180.80698;0
01;01211;LENT;AIN;770.32672;867.33978;1029.108;999.70581;0
01;01212;LESCHEROUX;AIN;411.62628;494.13992;495.35333;516.16547;0
01;01213;LEYMENT;AIN;558.414;721.9267;897.58319;1102.349;0
01;01214;LEYSSARD;AIN;92.787399;110.55296;119.4435;140.70917;0
01;01215;LHOPITAL;AIN;83.184433;72.093124;106.38223;107.37778;0
01;01216;LHUIS;AIN;477.45966;590.48303;667.36127;689.89563;0
01;01219;LOMPNAS;AIN;115.60567;141.76389;108.95619;80.314156;0
01;01224;LOYETTES;AIN;1373.918;1576.2661;1977.3936;2195.8494;0
01;01225;LURCY;AIN;175.91841;222.53281;275.07074;315.04001;0
01;01227;MAGNIEU;AIN;325.80603;332.30026;396.24176;497.81616;0
01;01228;MAILLAT;AIN;362.78043;387.45386;450.50446;513.13702;0
01;01229;MALAFRETAZ;AIN;491.96628;561.45563;782.01245;979.26453;0
01;01230;MANTENAY-MONTLIN;AIN;195.35443;198.68904;218.7607;231.12794;0
01;01231;MANZIAT;AIN;1104.3848;1252.6119;1431.224;1575.5469;0
01;01232;MARBOZ;AIN;1466.3413;1669.3564;1740.4518;1823.2834;0
01;01233;MARCHAMP;AIN;95.721207;95.815697;89.400002;101.96633;0
01;01234;MARIGNIEU;AIN;121.88334;127.4604;132.20755;148.66801;0
01;01235;MARLIEUX;AIN;479.74039;522.40808;696.18243;873.09344;0
01;01236;MARSONNAS;AIN;561.91479;566.58691;719.28625;789.15808;0
01;01237;MARTIGNAT;AIN;709.48828;901.50201;1043.9626;1285.8534;0
01;01238;MASSIEUX;AIN;1301.9235;1535.1896;1740.1683;2011.4606;0
01;01239;MASSIGNIEU-DE-RIVES;AIN;328.61896;392.32257;463.67221;473.79141;0
01;01240;MATAFELON-GRANGES;AIN;320.35025;396.60919;485.60431;441.55963;0
01;01241;MEILLONNAS;AIN;777.42511;955.14471;981.47314;1134.7557;0
01;01242;MERIGNAT;AIN;80.62796;84.79837;104.48925;102.1382;0
01;01243;MESSIMY-SUR-SAONE;AIN;603.69427;751.37616;830.36749;971.11719;0
01;01244;MEXIMIEUX;AIN;3969.5313;4861.6196;5260.623;5708.9478;0
01;01245;BOHAS-MEYRIAT-RIGNAT;AIN;492.66541;574.48877;643.42834;680.05414;0
01;01246;MEZERIAT;AIN;1102.7963;1356.9042;1539.9854;1483.4186;0
01;01247;MIJOUX;AIN;189.70541;226.71832;248.87776;214.71658;0
01;01248;MIONNAY;AIN;823.54047;1378.8616;1557.8193;1962.8551;0
01;01249;MIRIBEL;AIN;5174.3867;6019.9189;6595.7798;7039.5493;0
01;01250;MISERIEUX;AIN;820.64557;1121.5573;1334.3989;1431.1934;0
01;01252;MOGNENEINS;AIN;349.28946;404.56891;541.50537;595.96619;0
01;01254;MONTAGNAT;AIN;871.58533;1085.1116;1300.1152;1794.4585;0
01;01255;MONTAGNIEU;AIN;276.21671;351.98257;438.33176;420.50928;0
01;01257;MONTANGES;AIN;205.25932;203.77655;253.57196;309.36835;0
01;01258;MONTCEAUX;AIN;496.79269;636.09662;860.61176;875.28424;0
01;01259;MONTCET;AIN;292.9538;358.64114;462.74161;571.8526;0
01;01260;MONTELLIER;AIN;132.91531;171.80879;168.75461;228.3658;0
01;01261;MONTHIEUX;AIN;258.29544;384.10739;485.61621;536.68402;0
01;01262;MONTLUEL;AIN;3476.5635;4144.5581;4902.439;4949.9077;0
01;01263;MONTMERLE-SUR-SAONE;AIN;1862.3213;2363.5388;2817.1582;2939.7957;0
01;01264;MONTRACOL;AIN;427.69009;551.6004;694.74878;630.85229;0
01;01265;MONTREAL-LA-CLUSE;AIN;1807.8547;2152.3906;2188.5974;2091.334;0
01;01266;MONTREVEL-EN-BRESSE;AIN;1563.1989;1691.7527;1912.8464;2214.9277;0
01;01267;NURIEUX-VOLOGNAT;AIN;560.29401;690.60956;703.77875;805.65594;0
01;01268;MURS-ET-GELIGNIEUX;AIN;135.59174;171.6468;171.94794;180.55203;0
01;01269;NANTUA;AIN;2095.7419;2298.4395;2200.9934;2105.3289;0
01;01272;NEUVILLE-LES-DAMES;AIN;843.4823;1017.705;1134.8982;1184.9098;0
01;01273;NEUVILLE-SUR-AIN;AIN;888.76471;977.3371;1163.6858;1305.6321;0
